Cycle,Odd-Even,Variable,Mean,Median,Std,Min,Max,Shannon Entropy,Sample Entropy,Permutation Entropy,Spectral Entropy,Approximate Entropy,Higuchi Fractal Dimension,Katz Fractal Dimension,Petrosian Fractal Dimension,Lempel-Ziv complexity,Hurts exponent
22d,Even,"SW Plasma Speed, km/s",446.7902392538524,425.0,96.41835306544851,266.0,889.0,3.0533196067984383,1.3618654362269516,0.9487547253008176,0.8266978787774745,1.5129652779403364,1.6931467827948536,3.574052619882353,1.022535607350977,1354,0.7474404153950662
23u,odd,"SW Plasma Speed, km/s",421.7920583637311,406.0,84.25402359814194,278.0,829.0,2.9478454712493147,1.4450835196063754,0.9258689117199258,0.8388650886740022,1.4939558221638354,1.7219567592398126,3.892246790825729,1.021539058942981,1073,0.7701937524493517
23d,odd,"SW Plasma Speed, km/s",461.44526275115913,440.5,112.00347467538158,257.0,1003.0,2.8945729282192536,1.2668509327490898,0.890005239420764,0.7796274371838451,1.4362824405643613,1.7054881202503032,3.1469379708793324,1.0181330970291922,1443,0.732606800738643
24u,Even,"SW Plasma Speed, km/s",398.5441478439425,381.0,82.34331653984063,256.0,744.0,2.9462475055993576,1.2904679285887808,0.9189081341740927,0.8092459024655612,1.3979428932221776,1.6898482316189631,3.222459336180466,1.0208545710165766,1086,0.7820548201092872
24d,Even,"SW Plasma Speed, km/s",425.98599710284884,405.0,90.49172859394811,265.0,741.0,2.894714061260143,1.295556888702019,0.9129168961206745,0.7888562024193359,1.450563643970344,1.6844513766928528,3.845394753658331,1.0201082555595502,1161,0.7295135279387672
25u,odd,"SW Plasma Speed, km/s",409.4725523486135,393.0,82.60264700742012,275.0,882.0,2.815632887782802,1.3200859886003302,0.9219900644807719,0.8224846177966775,1.4390637899666308,1.6964866185918073,2.9224693199103493,1.0214221724004096,989,0.783537248928485
20u,Even,Alpha/Prot. ratio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,,,1.0,2,
20d,Even,Alpha/Prot. ratio,0.04092067738624697,0.0403899999999999,0.011527053903029995,0.007,0.17,3.4083717534528,1.418490925933367,0.9911812311080725,0.9511781748880597,1.6339171432908324,1.8720553810593727,2.833731757405136,1.0269582650236193,2,0.6635450881850253
21u,odd,Alpha/Prot. ratio,0.04418669080376536,0.0431599999999999,0.018453706025356263,0.004,0.211,2.9279997157574265,1.748642935067249,0.9919511910271481,0.9495474239631223,1.6320578912299162,1.8785131473473473,2.7599589797655946,1.0301264735076396,2,0.6213601049142526
21d,odd,Alpha/Prot. ratio,0.05378324889425006,0.05334,0.018655644837196242,0.004,0.193,3.172319580214317,1.5229455322658163,0.9931660805474471,0.9682512973896253,1.6182686555046422,1.8881953066864852,3.386317373365772,1.0280058945809483,2,0.6612067712716478
22u,Even,Alpha/Prot. ratio,0.0531305319148936,0.0514949999999999,0.024573830864092924,0.005,0.221,2.929431788255711,1.5643962063843635,0.9933558750188327,0.9673556648679006,1.5333664617928209,1.915004104411384,2.9518353197045912,1.0313653081290965,2,0.5816255298261545
22d,Even,Alpha/Prot. ratio,0.05024545012165449,0.04931999999999995,0.025737598446105407,0.003,0.261,3.132997374286005,1.3285265775809547,0.991325163875109,0.9701822444905969,1.46693222050934,1.8906852624428463,3.4335999610980323,1.0276014019334352,2,0.6365207346319127
23u,odd,Alpha/Prot. ratio,0.03736569567483064,0.037,0.01765652085490882,0.004,0.146,2.9141884326168475,1.7246015061385962,0.987936160567608,0.9373550253042369,1.6495092677948122,1.8810997530157358,3.274246585225664,1.0278133029861825,2,0.7052867801648134
23d,odd,Alpha/Prot. ratio,0.03680808732612055,0.038,0.01653794506094731,0.003,0.147,2.9683963810134295,1.5848179350460398,0.9791325230732507,0.9033316390523521,1.6513491409156051,1.822365337685964,3.1138106374869117,1.0254097315480928,2,0.6684769871571712
24u,Even,Alpha/Prot. ratio,0.030873891170431215,0.029,0.016239724619872414,0.003,0.123,2.7845043817009003,1.5484427678937898,0.9844135646574911,0.91081432960351,1.598929875436045,1.8175906392624557,3.0734976572330455,1.0271382629663486,2,0.721730396964124
24d,Even,Alpha/Prot. ratio,0.0331764751327861,0.033,0.016297398797639726,0.003,0.118,2.7680418964677367,1.5425670576585466,0.9864583592049907,0.9074138800469592,1.6425689155165544,1.8385918065041182,3.807098639774063,1.0272610230198416,2,0.7297205944475932
25u,odd,Alpha/Prot. ratio,0.0325479117147708,0.031,0.016614644071374966,0.003,0.125,2.7786186356497127,1.6306390823920751,0.9900362143168128,0.9335123231511707,1.6186603340475418,1.8512062092700305,3.1319756798396754,1.0287085656657364,2,0.7136382563030399
20u,Even,Flow pressure,2.13622203525641,2.01,1.0294890142572517,0.12,13.71,2.9169863915801235,1.532451347542533,0.9929447713519506,0.9571810349330612,1.5428036407546566,1.9461706017442197,2.6305052606280053,1.0309650688628658,199,0.6057979826297801
20d,Even,Flow pressure,2.5577671228190217,2.437800000000001,1.2863519058130284,0.24,23.04,3.2882305498775395,1.347159690371642,0.985873736403462,0.9684739943607639,1.64396820600636,1.9108681124359987,2.486003153340616,1.02604659360305,469,0.6574402699585279
21u,odd,Flow pressure,2.59575018102824,2.34,1.4857185436079807,0.11,23.16,2.916343684247011,1.566361795757037,0.9876779344013292,0.9788714143668078,1.5460902124192732,1.9266644131045811,2.4529084903830003,1.0291608249663213,261,0.5189917873631815
21d,odd,Flow pressure,2.920382066747085,2.62,1.6019264498610262,0.39,26.86,3.148373262053321,1.487741362994959,0.9842650206481065,0.9806168502179182,1.6053229760888348,1.9258890587422561,2.5029556472291334,1.0264001774015394,467,0.6107998239829062
22u,Even,Flow pressure,2.8119546099290784,2.589500000000001,1.4165059872712085,0.67,16.87,2.8469563564674765,1.5338471666346143,0.984921319421437,0.9406404600925458,1.5019743386764,1.920282512847118,2.7430306307522123,1.0294497184921734,231,0.6810609644197244
22d,Even,Flow pressure,3.114841605839416,2.66,1.7727747411914994,0.28,19.9,3.1683192483363927,1.3878832808727144,0.9877454650275751,0.9647693373658539,1.5458981758620132,1.9016218625818573,2.994128468891141,1.0270672187914913,482,0.6609552960847008
23u,odd,Flow pressure,2.1960018238665975,1.91,1.292029047286525,0.12,15.92,3.0316277005076295,1.6139694691144537,0.9850365504749112,0.968135711175764,1.639390422219484,1.9331935839274614,2.845389592067206,1.0278133029861825,338,0.5984046418187307
23d,odd,Flow pressure,2.1382083075734157,1.815,1.3846081840716868,0.14,16.63,3.037090273753249,1.3672009209953035,0.962114171534024,0.9620280700972574,1.5542906699582177,1.9138914374868792,2.7715216070952584,1.0235621198155418,433,0.6001907001177037
